model_id,model_type,activation_function,optimizer,criterion,learning_rate,beta1,beta2,num_epochs,time_minutes,learning_rate_adam
253,MLP4,relu,Muon,MSELoss,0.0253,0.95,,500,0.27,0.0001
254,MLP4,relu,Muon,MSELoss,0.0254,0.95,,500,0.29,0.0001
255,MLP4,relu,Muon,MSELoss,0.0255,0.95,,500,0.27,0.0001
256,MLP4,relu,Muon,MSELoss,0.0256,0.95,,500,0.29,0.0001
257,MLP4,relu,Muon,MSELoss,0.0257,0.95,,500,0.29,0.0001
258,MLP4,relu,Muon,MSELoss,0.0258,0.95,,500,0.28,0.0001
259,MLP4,relu,Muon,MSELoss,0.0259,0.95,,500,0.26,0.0001
260,MLP4,relu,Muon,MSELoss,0.026,0.95,,500,0.28,0.0001
261,MLP4,relu,Muon,MSELoss,0.0261,0.95,,500,0.28,0.0001
262,MLP4,relu,Muon,MSELoss,0.0262,0.95,,500,0.28,0.0001
263,MLP4,relu,Muon,MSELoss,0.0263,0.95,,500,0.27,0.0001
264,MLP4,relu,Muon,MSELoss,0.0264,0.95,,500,0.29,0.0001
265,MLP4,relu,Muon,MSELoss,0.0265,0.95,,500,0.28,0.0001
266,MLP4,relu,Muon,MSELoss,0.0266,0.95,,500,0.28,0.0001
267,MLP4,relu,Muon,MSELoss,0.0267,0.95,,500,0.29,0.0001
268,MLP4,relu,Muon,MSELoss,0.0268,0.95,,500,0.29,0.0001
269,MLP4,relu,Muon,MSELoss,0.0269,0.95,,500,0.27,0.0001
270,MLP4,relu,Muon,MSELoss,0.027,0.95,,500,0.29,0.0001
271,MLP4,relu,Muon,MSELoss,0.0271,0.95,,500,0.28,0.0001
272,MLP4,relu,Muon,MSELoss,0.0272,0.95,,500,0.28,0.0001
273,MLP4,relu,Muon,MSELoss,0.0273,0.95,,500,0.27,0.0001
274,MLP4,relu,Muon,MSELoss,0.0274,0.95,,500,0.28,0.0001
275,MLP4,relu,Muon,MSELoss,0.0275,0.95,,500,0.29,0.0001
276,MLP4,relu,Muon,MSELoss,0.0276,0.95,,500,0.29,0.0001
277,MLP4,relu,Muon,MSELoss,0.0277,0.95,,500,0.29,0.0001
278,MLP4,relu,Muon,MSELoss,0.0278,0.95,,500,0.29,0.0001
279,MLP4,relu,Muon,MSELoss,0.0279,0.95,,500,0.29,0.0001
280,MLP4,relu,Muon,MSELoss,0.028,0.95,,500,0.27,0.0001
281,MLP4,relu,Muon,MSELoss,0.0281,0.95,,500,0.29,0.0001
282,MLP4,relu,Muon,MSELoss,0.0282,0.95,,500,0.28,0.0001
283,MLP4,relu,Muon,MSELoss,0.0283,0.95,,500,0.29,0.0001
284,MLP4,relu,Muon,MSELoss,0.0284,0.95,,500,0.27,0.0001
285,MLP4,relu,Muon,MSELoss,0.0285,0.95,,500,0.27,0.0001
286,MLP4,relu,Muon,MSELoss,0.0286,0.95,,500,0.28,0.0001
287,MLP4,relu,Muon,MSELoss,0.0287,0.95,,500,0.28,0.0001
288,MLP4,relu,Muon,MSELoss,0.0288,0.95,,500,0.29,0.0001
289,MLP4,relu,Muon,MSELoss,0.0289,0.95,,500,0.28,0.0001
290,MLP4,relu,Muon,MSELoss,0.029,0.95,,500,0.28,0.0001
291,MLP4,relu,Muon,MSELoss,0.0291,0.95,,500,0.28,0.0001
292,MLP4,relu,Muon,MSELoss,0.0292,0.95,,500,0.26,0.0001
293,MLP4,relu,Muon,MSELoss,0.0293,0.95,,500,0.26,0.0001
294,MLP4,relu,Muon,MSELoss,0.0294,0.95,,500,0.27,0.0001
295,MLP4,relu,Muon,MSELoss,0.0295,0.95,,500,0.25,0.0001
296,MLP4,relu,Muon,MSELoss,0.0296,0.95,,500,0.28,0.0001
297,MLP4,relu,Muon,MSELoss,0.0297,0.95,,500,0.27,0.0001
298,MLP4,relu,Muon,MSELoss,0.0298,0.95,,500,0.28,0.0001
299,MLP4,relu,Muon,MSELoss,0.0299,0.95,,500,0.27,0.0001
300,MLP4,relu,Muon,MSELoss,0.03,0.95,,500,0.28,0.0001
301,MLP4,relu,Muon,MSELoss,0.0301,0.95,,500,0.28,0.0001
302,MLP4,relu,Muon,MSELoss,0.0302,0.95,,500,0.28,0.0001
303,MLP4,relu,Muon,MSELoss,0.0303,0.95,,500,0.28,0.0001
304,MLP4,relu,Muon,MSELoss,0.0304,0.95,,500,0.27,0.0001
305,MLP4,relu,Muon,MSELoss,0.0305,0.95,,500,0.28,0.0001
306,MLP4,relu,Muon,MSELoss,0.0306,0.95,,500,0.28,0.0001
307,MLP4,relu,Muon,MSELoss,0.0307,0.95,,500,0.29,0.0001
308,MLP4,relu,Muon,MSELoss,0.0308,0.95,,500,0.27,0.0001
309,MLP4,relu,Muon,MSELoss,0.0309,0.95,,500,0.28,0.0001
310,MLP4,relu,Muon,MSELoss,0.031,0.95,,500,0.27,0.0001
311,MLP4,relu,Muon,MSELoss,0.0311,0.95,,500,0.26,0.0001
312,MLP4,relu,Muon,MSELoss,0.0312,0.95,,500,0.29,0.0001
313,MLP4,relu,Muon,MSELoss,0.0313,0.95,,500,0.27,0.0001
314,MLP4,relu,Muon,MSELoss,0.0314,0.95,,500,0.27,0.0001
315,MLP4,relu,Muon,MSELoss,0.0315,0.95,,500,0.28,0.0001
316,MLP4,relu,Muon,MSELoss,0.0316,0.95,,500,0.27,0.0001
317,MLP4,relu,Muon,MSELoss,0.0317,0.95,,500,0.29,0.0001
318,MLP4,relu,Muon,MSELoss,0.0318,0.95,,500,0.29,0.0001
319,MLP4,relu,Muon,MSELoss,0.0319,0.95,,500,0.28,0.0001
320,MLP4,relu,Muon,MSELoss,0.032,0.95,,500,0.29,0.0001
321,MLP4,relu,Muon,MSELoss,0.0321,0.95,,500,0.28,0.0001
322,MLP4,relu,Muon,MSELoss,0.0322,0.95,,500,0.29,0.0001
323,MLP4,relu,Muon,MSELoss,0.0323,0.95,,500,0.28,0.0001
324,MLP4,relu,Muon,MSELoss,0.0324,0.95,,500,0.28,0.0001
325,MLP4,relu,Muon,MSELoss,0.0325,0.95,,500,0.27,0.0001
326,MLP4,relu,Muon,MSELoss,0.0326,0.95,,500,0.28,0.0001
327,MLP4,relu,Muon,MSELoss,0.0327,0.95,,500,0.28,0.0001
328,MLP4,relu,Muon,MSELoss,0.0328,0.95,,500,0.28,0.0001
329,MLP4,relu,Muon,MSELoss,0.0329,0.95,,500,0.28,0.0001
330,MLP4,relu,Muon,MSELoss,0.033,0.95,,500,0.29,0.0001
331,MLP4,relu,Muon,MSELoss,0.0331,0.95,,500,0.29,0.0001
332,MLP4,relu,Muon,MSELoss,0.0332,0.95,,500,0.26,0.0001
333,MLP4,relu,Muon,MSELoss,0.0333,0.95,,500,0.29,0.0001
334,MLP4,relu,Muon,MSELoss,0.0334,0.95,,500,0.28,0.0001
335,MLP4,relu,Muon,MSELoss,0.0335,0.95,,500,0.28,0.0001
